SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
SHRIRAMFIN,Shriram Finance,EQ,NA,10,NA,10
JIOFIN,JIO Financial Serv.,EQ,NA,10,NA,10
TATASTEEL,Tata Steel,EQ,NA,10,NA,10
BHARTIARTL,Bharti Airtel,EQ,NA,10,NA,10
HINDALCO,Hindalco Industries Ltd,EQ,NA,10,NA,10
ETERNAL,Eternal Ltd,EQ,NA,10,NA,10
BAJFINANCE,Bajaj Finance,EQ,NA,10,NA,10
ADANIPORTS,Adani Ports &Special,EQ,NA,10,NA,10
ADANIENT,Adani Enterprises,EQ,NA,10,NA,10
TATACONSUM,Tata Consumer Produc,EQ,NA,10,NA,10
RELIANCE,Reliance Industries,EQ,NA,10,NA,10
HDFCLIFE,HDFC Life Insurance,EQ,NA,10,NA,10
BAJAJFINSV,Bajaj Finserv,EQ,NA,10,NA,10
HDFCBANK,HDFC Bank,EQ,NA,10,NA,10
NTPC,NTPC Ltd,EQ,NA,10,NA,10
ULTRACEMCO,Ultratech Cement,EQ,NA,10,NA,10
GRASIM,Grasim Industries,EQ,NA,10,NA,10
AXISBANK,Axis Bank,EQ,NA,10,NA,10
ONGC,Oil & Natural Gas Corpn Ltd,EQ,NA,10,NA,10
TATAMOTORS,Tata Motors,EQ,NA,10,NA,10
TITAN,Titan Co,EQ,NA,10,NA,10
NESTLEIND,Nestle,EQ,NA,10,NA,10
LT,Larsen & Toubro,EQ,NA,10,NA,10
ICICIBANK,ICICI Bank,EQ,NA,10,NA,10
ITC,ITC Ltd,EQ,NA,10,NA,10
APOLLOHOSP,Apollo Hospital Ent.,EQ,NA,10,NA,10
POWERGRID,Power Grid Corp,EQ,NA,10,NA,10
BEL,Bharat Electronics,EQ,NA,10,NA,10
SBILIFE,SBI Life Insuran,EQ,NA,10,NA,10
JSWSTEEL,JSW Steel,EQ,NA,10,NA,10
COALINDIA,Coal India,EQ,NA,10,NA,10
INDUSINDBK,Indusind Bank,EQ,NA,10,NA,10
BAJAJ-AUTO,Bajaj Auto,EQ,NA,10,NA,10
EICHERMOT,Eicher Motors,EQ,NA,10,NA,10
HCLTECH,HCL Tech.,EQ,NA,10,NA,10
ASIANPAINT,Asian Paints,EQ,NA,10,NA,10
CIPLA,Cipla Ltd,EQ,NA,10,NA,10
KOTAKBANK,Kotak Mahindra Bank,EQ,NA,10,NA,10
HINDUNILVR,Hindustan Unilever,EQ,NA,10,NA,10
INFY,Infosys,EQ,NA,10,NA,10
TCS,Tata Consultancy Services Ltd,EQ,NA,10,NA,10
SUNPHARMA,Sun Pharma Inds.,EQ,NA,10,NA,10
MARUTI,Maruti Suzuki,EQ,NA,10,NA,10
TRENT,Trent Ltd,EQ,NA,10,NA,10
M&M,Mahindra & Mahindra Ltd,EQ,NA,10,NA,10
HEROMOTOCO,Hero MotoCorp,EQ,NA,10,NA,10
SBIN,State Bank of India,EQ,NA,10,NA,10
WIPRO,Wipro Ltd,EQ,NA,10,NA,10
TECHM,Tech Mahindra,EQ,NA,10,NA,10
DRREDDY,Dr. Reddy''s Lab,EQ,NA,10,NA,10
