SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
HSCL,Himadri Speciality,EQ,NA,10,NA,10
RPOWER,Reliance Power,EQ,NA,10,NA,10
LAURUSLABS,Laurus Labs,EQ,NA,10,NA,10
ABREL,Aditya Birla Real,EQ,NA,10,NA,10
GSPL,Guj. State Petronet,EQ,NA,10,NA,10
KFINTECH,KFin Technologies,EQ,NA,10,NA,10
NAVINFLUOR,Navin Fluorine Intl,EQ,NA,10,NA,10
CAMS,Computer Age Man,EQ,NA,10,NA,10
KAYNES,Kaynes Technology,EQ,NA,10,NA,10
NATCOPHARM,Natco Pharma,EQ,NA,10,NA,10
NEULANDLAB,Neuland Laboratories,EQ,NA,10,NA,10
CASTROLIND,Castrol India,EQ,NA,10,NA,10
AFFLE,Affle 3i,EQ,NA,10,NA,10
PPLPHARMA,Piramal Pharma,EQ,NA,10,NA,10
POONAWALLA,Poonawalla Fincorp,EQ,NA,10,NA,10
INOXWIND,Inox Wind,EQ,NA,10,NA,10
AMBER,Amber Enterprises,EQ,NA,10,NA,10
CDSL,Central Dep. Service,EQ,NA,10,NA,10
HINDCOPPER,Hindustan Copper,EQ,NA,10,NA,10
LALPATHLAB,Dr. Lal Pathlabs,EQ,NA,10,NA,10
ANGELONE,Angel One,EQ,NA,10,NA,10
SONATSOFTW,Sonata Software,EQ,NA,10,NA,10
CYIENT,Cyient Ltd,EQ,NA,10,NA,10
AARTIIND,Aarti Inds,EQ,NA,10,NA,10
RAMCOCEM,The Ramco Cements,EQ,NA,10,NA,10
MCX,Multi Commodity Exch,EQ,NA,10,NA,10
FIVESTAR,Five Star Business,EQ,NA,10,NA,10
FSL,Firstsource Solution,EQ,NA,10,NA,10
TEJASNET,Tejas Networks,EQ,NA,10,NA,10
CROMPTON,Crompt.Greaves Cons.,EQ,NA,10,NA,10
TATACHEM,Tata Chemicals,EQ,NA,10,NA,10
ZENSARTECH,Zensar Technologies,EQ,NA,10,NA,10
PEL,Piramal Enterprises,EQ,NA,10,NA,10
NCC,NCC Ltd,EQ,NA,10,NA,10
ARE&M,Amara Raja Energy & Mobility Ltd,EQ,NA,10,NA,10
DELHIVERY,Delhivery Ltd,EQ,NA,10,NA,10
PNBHOUSING,PNB Housing Finance,EQ,NA,10,NA,10
IEX,Indian Energy Exch,EQ,NA,10,NA,10
NBCC,NBCC (India),EQ,NA,10,NA,10
HFCL,HFCL Ltd,EQ,NA,10,NA,10
CESC,CESC Ltd,EQ,NA,10,NA,10
GESHIP,GE Shipping,EQ,NA,10,NA,10
IIFL,IIFL Finance,EQ,NA,10,NA,10
ASTERDM,Aster DM Healthcare,EQ,NA,10,NA,10
BRIGADE,Brigade Enterprises,EQ,NA,10,NA,10
RKFORGE,Ramkrishna Forgings,EQ,NA,10,NA,10
BSOFT,Birlasoft Ltd,EQ,NA,10,NA,10
RADICO,Radico Khaitan,EQ,NA,10,NA,10
KEC,KEC International,EQ,NA,10,NA,10
AEGISLOG,Aegis Logistics,EQ,NA,10,NA,10
