"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 50","25,268.95","25,565.30","25,259.90","25,244.75","25,549.00","-","304.25","1.21","42,88,91,818","38,689.15","26,277.35","21,743.65","0.97","6.42"
"SHRIRAMFIN","675.15","707.55","674.25","675.10","700.00","-","24.90","3.69","1,90,68,571","1,322.62","730.45","493.35","1.60","-77.42"
"JIOFIN","304.80","312.90","304.10","303.30","312.55","-","9.25","3.05","3,71,58,992","1,153.82","363.00","198.65","7.65","-15.53"
"TATASTEEL","156.87","161.10","156.45","156.39","160.40","-","4.01","2.56","4,06,50,557","645.90","179.00","122.62","-3.77","-10.98"
"BHARTIARTL","1,970.00","2,018.40","1,966.30","1,965.60","2,015.60","-","50.00","2.54","94,13,241","1,882.75","2,018.40","1,408.45","6.40","38.92"
"HINDALCO","674.10","693.00","672.70","672.65","689.30","-","16.65","2.48","81,96,123","560.92","772.65","546.45","1.69","-1.87"
"ETERNAL","259.42","266.25","258.95","258.86","265.20","-","6.34","2.45","4,71,00,081","1,240.52","304.70","194.56","14.14","-"
"BAJFINANCE","930.00","953.50","928.50","928.00","950.00","-","22.00","2.37","1,16,77,790","1,106.13","978.80","642.50","-89.99","-86.88"
"ADANIPORTS","1,399.00","1,433.00","1,395.20","1,393.10","1,425.50","-","32.40","2.33","28,77,806","408.94","1,604.95","995.65","-0.51","-4.33"
"ADANIENT","2,535.00","2,593.60","2,522.20","2,527.20","2,580.00","-","52.80","2.09","13,39,627","342.94","3,258.00","2,025.00","-0.80","-20.31"
"TATACONSUM","1,122.00","1,150.00","1,119.10","1,126.50","1,148.70","-","22.20","1.97","22,36,678","254.08","1,250.10","882.90","-1.73","2.91"
"RELIANCE","1,469.10","1,498.80","1,465.10","1,467.30","1,495.30","-","28.00","1.91","1,46,57,893","2,181.33","1,608.80","1,114.85","2.27","-49.55"
"HDFCLIFE","789.00","802.15","785.60","785.10","800.10","-","15.00","1.91","42,90,163","341.42","802.15","576.95","0.65","32.85"
"BAJAJFINSV","2,018.00","2,058.00","2,011.80","2,011.80","2,050.00","-","38.20","1.90","18,28,277","372.66","2,135.00","1,523.25","-1.99","25.47"
"HDFCBANK","1,981.40","2,027.10","1,980.00","1,980.20","2,017.70","-","37.50","1.89","2,50,42,415","5,036.56","2,027.10","1,588.05","2.06","15.71"
"NTPC","332.40","337.80","331.30","330.85","337.10","-","6.25","1.89","1,37,54,087","461.13","448.45","292.80","-3.68","-8.31"
"ULTRACEMCO","11,690.00","11,986.00","11,681.00","11,733.00","11,942.00","-","209.00","1.78","5,06,580","602.71","12,339.00","10,047.85","0.38","8.18"
"GRASIM","2,840.00","2,894.90","2,832.00","2,831.80","2,880.00","-","48.20","1.70","13,92,932","399.71","2,894.90","2,276.95","6.60","12.51"
"AXISBANK","1,215.20","1,239.00","1,211.20","1,213.30","1,231.50","-","18.20","1.50","86,78,448","1,067.29","1,339.65","933.50","-0.16","-4.57"
"ONGC","242.00","245.37","241.54","241.91","245.01","-","3.10","1.28","1,57,69,123","383.47","345.00","205.00","-1.64","-9.40"
"TATAMOTORS","677.00","683.70","674.45","674.50","682.70","-","8.20","1.22","1,01,04,914","686.80","1,179.00","535.75","-7.48","-29.37"
"TITAN","3,655.00","3,700.50","3,644.00","3,652.20","3,694.60","-","42.40","1.16","16,20,497","596.34","3,867.00","2,925.00","1.16","7.34"
"NESTLEIND","2,420.00","2,443.60","2,403.20","2,404.40","2,432.00","-","27.60","1.15","15,57,549","377.62","2,778.00","2,110.00","-2.02","-4.41"
"LT","3,620.10","3,669.00","3,620.10","3,619.80","3,660.30","-","40.50","1.12","25,78,926","940.64","3,963.50","2,965.30","-0.79","0.89"
"ICICIBANK","1,424.80","1,447.50","1,421.70","1,425.80","1,440.00","-","14.20","1.00","1,36,17,435","1,956.61","1,471.60","1,153.00","-2.38","19.02"
"ITC","417.20","420.90","416.25","416.35","420.00","-","3.65","0.88","1,37,03,918","573.44","528.50","390.15","-5.99","-1.64"
"APOLLOHOSP","7,054.50","7,122.50","7,020.50","7,042.00","7,104.00","-","62.00","0.88","4,26,516","301.57","7,545.35","6,001.00","-0.77","11.86"
"POWERGRID","290.80","294.25","289.75","290.45","293.00","-","2.55","0.88","1,02,32,220","298.57","366.25","247.30","-2.11","-11.29"
"BEL","408.95","413.90","406.85","406.05","409.50","-","3.45","0.85","2,57,30,795","1,054.78","426.50","240.25","5.59","31.11"
"SBILIFE","1,850.00","1,866.40","1,842.70","1,842.70","1,856.00","-","13.30","0.72","11,47,822","213.44","1,936.00","1,372.55","2.28","26.04"
"JSWSTEEL","1,030.00","1,040.50","1,017.15","1,024.45","1,031.25","-","6.80","0.66","38,92,783","400.48","1,074.90","854.15","-0.76","10.17"
"COALINDIA","392.00","394.70","390.65","391.75","394.10","-","2.35","0.60","55,69,101","218.67","543.55","349.25","-2.72","-16.52"
"INDUSINDBK","834.90","840.50","824.50","829.80","834.70","-","4.90","0.59","44,51,922","370.85","1,521.00","606.00","3.71","-44.52"
"BAJAJ-AUTO","8,370.00","8,465.00","8,361.00","8,389.50","8,426.00","-","36.50","0.44","3,71,685","312.63","12,774.00","7,089.35","-6.35","-13.15"
