"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-Jun-2024"
"NIFTY ENERGY","36,300.70","36,707.65","36,289.60","36,179.10","36,542.60","-","363.50","1.00","55,45,84,934","15,490.31","45,022.15","29,313.20","1.82","-11.61"
"ATGL","648.00","693.90","647.80","645.55","682.00","-","36.45","5.65","1,16,51,442","795.19","941.90","532.60","1.40","-24.41"
"SUZLON","64.80","67.70","64.45","64.53","67.50","-","2.97","4.60","15,73,24,744","1,045.74","86.04","46.15","1.51","26.35"
"HINDPETRO","420.95","440.30","419.45","420.30","439.50","-","19.20","4.57","1,53,52,970","666.13","457.15","287.55","5.00","31.93"
"MGL","1,447.10","1,525.00","1,439.70","1,447.10","1,512.00","-","64.90","4.48","19,86,072","298.67","1,988.00","1,075.25","11.34","0.56"
"RPOWER","66.48","69.50","65.55","66.60","69.29","-","2.69","4.04","3,10,98,403","211.47","76.49","25.75","-","-"
"ADANIGREEN","994.40","1,046.90","993.00","992.00","1,020.00","-","28.00","2.82","60,44,564","619.97","2,091.00","758.00","1.37","-43.84"
"IGL","209.34","216.70","208.43","208.33","214.10","-","5.77","2.77","1,13,84,244","243.50","285.18","153.05","0.36","-55.63"
"GSPL","321.00","343.30","321.00","319.85","328.30","-","8.45","2.64","49,35,147","166.01","469.70","261.45","0.98","11.42"
"POWERINDIA","19,776.00","20,221.00","19,380.00","19,441.00","19,900.00","-","459.00","2.36","2,14,655","427.35","20,298.00","8,801.00","8.81","58.51"
"GUJGASLTD","461.25","488.40","461.10","461.25","471.85","-","10.60","2.30","22,22,653","105.92","689.95","360.25","2.20","-24.93"
"GAIL","187.70","191.61","187.11","186.79","190.98","-","4.19","2.24","1,30,50,123","247.80","246.30","150.52","-1.71","-12.36"
"ADANIENSOL","865.00","900.85","863.00","864.75","883.00","-","18.25","2.11","31,18,143","277.18","1,348.00","588.00","1.69","-12.70"
"POWERGRID","295.00","300.70","294.15","293.50","299.00","-","5.50","1.87","1,55,23,628","463.55","366.25","247.30","2.78","-9.74"
"TORNTPOWER","1,468.10","1,492.00","1,459.10","1,460.70","1,482.00","-","21.30","1.46","10,38,044","153.36","2,037.00","1,207.25","5.51","-3.03"
"CASTROLIND","215.00","218.40","213.49","214.19","217.00","-","2.81","1.31","26,59,256","57.54","284.40","162.60","5.07","7.22"
"RELIANCE","1,499.40","1,522.00","1,496.90","1,495.30","1,514.00","-","18.70","1.25","1,11,17,052","1,680.89","1,608.80","1,114.85","7.25","-50.49"
"INOXWIND","174.00","176.40","173.02","173.89","176.00","-","2.11","1.21","53,12,228","93.09","261.90","130.32","-9.34","25.45"
"ABB","6,060.00","6,175.00","6,030.00","6,012.50","6,080.00","-","67.50","1.12","2,41,168","147.11","8,940.60","4,684.45","0.91","-29.78"
"SIEMENS","3,184.00","3,271.90","3,165.00","3,164.90","3,199.00","-","34.10","1.08","20,52,948","659.91","8,129.90","2,450.00","-4.77","-59.42"
"ADANIPOWER","580.00","606.80","574.20","578.15","584.25","-","6.10","1.06","1,56,44,091","929.81","752.90","432.00","6.11","-18.35"
"PETRONET","301.05","310.00","301.05","299.80","302.85","-","3.05","1.02","58,37,469","177.56","384.20","269.60","-3.34","-5.50"
"BPCL","330.00","334.20","327.40","329.75","333.00","-","3.25","0.99","99,11,738","329.09","376.00","234.01","3.51","9.23"
"JSWENERGY","519.00","528.50","516.00","516.95","522.00","-","5.05","0.98","38,49,783","201.18","804.90","418.75","5.28","-28.96"
"TATAPOWER","407.10","411.50","406.35","405.65","409.50","-","3.85","0.95","52,43,333","214.64","494.85","326.35","3.15","-6.96"
"JPPOWER","18.06","18.32","17.95","17.97","18.06","-","0.09","0.50","4,97,71,684","90.04","23.77","12.36","20.27","-7.98"
"IOC","146.28","148.30","146.00","146.28","146.99","-","0.71","0.49","1,91,89,378","282.53","185.97","110.72","2.09","-10.00"
"NHPC","85.80","86.35","85.25","85.38","85.80","-","0.42","0.49","1,59,70,754","136.92","118.40","71.00","-1.37","-13.22"
"COALINDIA","395.00","397.70","392.10","394.15","395.70","-","1.55","0.39","1,62,53,653","640.88","543.55","349.25","-1.02","-15.61"
"NLCINDIA","230.00","233.99","227.25","228.69","229.00","-","0.31","0.14","19,75,899","45.44","311.80","186.03","-5.74","-5.93"
"SJVN","100.70","101.47","99.29","100.00","100.09","-","0.09","0.09","59,10,689","59.23","159.65","80.54","-2.94","-24.75"
"TRITURBINE","610.05","639.00","604.50","608.30","607.95","-","-0.35","-0.06","50,34,127","314.83","885.00","460.30","2.47","0.04"
"ONGC","245.01","246.22","242.00","244.73","244.40","-","-0.33","-0.13","2,16,91,960","527.81","345.00","205.00","0.07","-9.22"
"CGPOWER","675.00","689.90","670.00","674.75","673.70","-","-1.05","-0.16","43,98,286","297.37","874.70","517.70","-2.26","-3.66"
"BHEL","265.00","268.40","263.20","264.45","263.45","-","-1.00","-0.38","82,56,515","219.74","335.35","176.00","-0.94","-11.06"
"NTPC","338.95","341.30","334.45","337.15","335.75","-","-1.40","-0.42","5,08,45,169","1,721.06","448.45","292.80","-0.51","-10.30"
"GVT&D","2,350.00","2,390.00","2,322.70","2,346.50","2,335.00","-","-11.50","-0.49","2,98,140","70.02","2,500.00","1,254.00","5.05","-"
"CESC","173.50","173.50","171.50","173.19","171.70","-","-1.49","-0.86","32,01,810","55.14","212.49","119.00","3.16","4.26"
"OIL","442.55","444.00","431.00","442.30","436.40","-","-5.90","-1.33","1,24,25,484","539.92","767.90","325.00","0.76","-38.55"
"THERMAX","3,464.00","3,464.00","3,331.00","3,463.00","3,355.00","-","-108.00","-3.12","2,75,946","94.09","5,839.95","2,950.05","-3.96","-37.40"
"AEGISLOG","831.00","845.50","770.50","825.40","783.05","-","-42.35","-5.13","22,71,542","182.65","1,037.00","609.85","-2.37","-8.54"
