"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-Jun-2024"
"NIFTY MICROCAP 250","24,000.40","24,049.35","23,935.10","23,867.90","23,989.60","-","121.70","0.51","58,37,13,257","7,119.98","26,476.90","8,567.20","2.14","4.14"
"LLOYDSENT","81.11","92.64","81.11","80.50","89.30","-","8.80","10.93","1,86,32,333","163.48","92.64","37.28","42.67","-"
"RESPONIND","214.20","232.00","212.40","213.11","230.00","-","16.89","7.93","3,34,417","7.48","339.45","155.80","16.60","-29.14"
"AKZOINDIA","3,215.00","3,540.00","3,136.10","3,189.30","3,419.00","-","229.70","7.20","12,45,810","425.68","4,674.00","2,752.00","2.18","20.57"
"LLOYDSENGG","64.89","72.00","64.85","64.30","68.85","-","4.55","7.08","5,15,29,139","353.49","82.65","44.54","12.60","-3.03"
"MSTCLTD","519.50","565.00","517.95","517.75","552.20","-","34.45","6.65","14,50,463","79.74","1,036.90","411.10","-0.70","-35.62"
"BAJAJHIND","24.60","26.45","24.54","24.45","26.04","-","1.59","6.50","2,97,37,816","76.55","46.10","16.50","7.28","-35.38"
"GMRP&UI","108.20","116.00","107.03","107.56","114.30","-","6.74","6.27","1,02,86,713","116.08","169.25","82.11","0.18","36.70"
"EDELWEISS","109.75","116.58","109.00","109.16","115.29","-","6.13","5.62","1,33,09,020","152.26","145.53","59.41","6.12","76.69"
"SUDARSCHEM","1,230.00","1,271.00","1,211.60","1,207.80","1,271.00","-","63.20","5.23","3,14,262","39.03","1,315.00","796.15","6.73","39.79"
"JKLAKSHMI","841.00","894.90","841.00","838.55","882.00","-","43.45","5.18","6,98,429","61.23","935.00","660.50","4.65","0.26"
"SBCL","531.80","570.95","522.30","526.40","553.30","-","26.90","5.11","4,93,050","27.22","729.80","342.00","12.20","-4.15"
"AHLUCONT","942.50","996.90","930.15","942.40","990.00","-","47.60","5.05","3,04,275","29.87","1,542.45","620.00","1.41","-20.85"
"INOXGREEN","151.77","157.79","149.58","150.28","157.79","-","7.51","5.00","7,00,923","10.82","224.65","104.00","-","-"
"UNIMECH","1,249.00","1,318.20","1,241.00","1,255.50","1,318.20","-","62.70","4.99","49,680","6.43","1,523.75","850.00","-","-"
"GRINFRA","1,275.50","1,413.00","1,265.10","1,271.20","1,331.20","-","60.00","4.72","3,55,898","48.27","1,860.00","901.00","4.45","-23.17"
"STLTECH","102.50","112.22","102.50","103.00","107.83","-","4.83","4.69","1,89,61,360","204.57","155.05","58.86","49.35","-21.52"
"NOCIL","188.50","196.15","188.14","187.64","196.15","-","8.51","4.54","10,69,534","20.65","336.00","158.10","8.89","-29.42"
"TRANSRAILL","640.10","668.65","640.00","633.75","658.00","-","24.25","3.83","29,26,640","192.47","718.90","394.55","7.93","-"
"JTLIND","75.16","77.95","75.16","75.05","77.85","-","2.80","3.73","10,66,088","8.22","123.75","59.77","15.07","-65.11"
"ANUP","2,640.00","2,755.00","2,615.80","2,615.40","2,710.00","-","94.60","3.62","68,642","18.56","3,859.40","1,665.05","-2.48","48.90"
"BALUFORGE","663.00","686.00","660.00","658.60","681.90","-","23.30","3.54","2,50,639","16.95","886.95","313.55","-","-"
"SHRIPISTON","2,403.60","2,517.10","2,394.50","2,403.60","2,485.10","-","81.50","3.39","72,804","17.90","2,591.00","1,662.55","0.59","29.93"
"BOMDYEING","157.98","163.88","157.29","157.16","162.45","-","5.29","3.37","33,96,898","54.89","256.40","117.50","5.40","-22.87"
"KRBL","355.20","370.00","355.05","356.25","367.95","-","11.70","3.28","8,25,649","30.19","384.00","241.25","4.14","29.54"
"PNGJL","579.90","623.55","579.90","579.10","598.00","-","18.90","3.26","5,78,259","34.57","848.00","473.80","9.11","-"
"CHEMPLASTS","428.90","449.90","426.50","426.70","440.55","-","13.85","3.25","1,55,064","6.85","602.35","379.00","3.92","-17.32"
"ACUTAAS","1,105.00","1,146.40","1,100.10","1,105.70","1,141.00","-","35.30","3.19","4,14,164","46.75","2,644.00","1,040.50","-","-"
"RATEGAIN","442.45","457.50","437.60","440.30","453.85","-","13.55","3.08","4,35,428","19.60","859.00","412.85","2.02","-39.33"
"FORCEMOT","14,205.00","14,575.00","14,125.00","14,113.00","14,525.00","-","412.00","2.92","1,08,436","156.22","14,589.00","6,125.00","14.63","61.73"
"POWERMECH","3,224.00","3,314.90","3,167.00","3,155.20","3,247.00","-","91.80","2.91","2,50,802","81.25","3,725.00","1,700.00","4.44","-34.36"
"MANINFRA","179.95","187.50","178.71","178.81","184.00","-","5.19","2.90","28,50,654","52.54","262.80","135.10","12.47","-5.90"
"SUPRAJIT","464.40","479.00","462.40","462.15","474.85","-","12.70","2.75","2,76,235","13.09","639.60","350.00","13.21","-7.22"
"BALAMINES","1,736.00","1,799.00","1,693.40","1,740.30","1,786.10","-","45.80","2.63","6,61,068","116.14","2,549.75","1,127.55","23.32","-21.86"
"RTNPOWER","14.38","14.85","14.17","14.10","14.46","-","0.36","2.55","16,65,06,789","241.27","18.25","8.44","26.67","-19.25"
"MARKSANS","248.00","255.35","246.90","247.05","252.65","-","5.60","2.27","9,36,220","23.62","358.70","158.22","-3.39","58.80"
"ISGEC","1,198.00","1,219.30","1,194.40","1,189.70","1,216.00","-","26.30","2.21","50,459","6.11","1,675.55","842.40","-0.17","-2.75"
"AARTIDRUGS","447.45","456.40","443.45","445.40","455.00","-","9.60","2.16","1,98,535","8.93","635.00","312.00","2.11","-10.18"
"JSFB","502.80","510.90","499.35","499.65","510.00","-","10.35","2.07","1,51,125","7.63","714.00","363.80","4.81","-24.42"
"JAIBALAJI","138.25","139.00","131.37","131.37","134.00","-","2.63","2.00","1,46,05,352","197.74","236.00","99.06","27.76","-"
"TEGA","1,490.30","1,528.70","1,480.60","1,475.50","1,505.00","-","29.50","2.00","34,372","5.19","2,328.90","1,200.05","-8.60","-7.93"
"VSTIND","293.75","298.00","292.25","291.50","297.30","-","5.80","1.99","8,54,738","25.27","486.15","242.05","3.81","-92.57"
"SHAILY","1,650.00","1,724.90","1,650.00","1,657.60","1,690.40","-","32.80","1.98","1,20,337","20.27","2,073.80","784.80","-15.74","111.96"
"KSB","804.30","828.95","801.50","804.25","820.20","-","15.95","1.98","1,05,533","8.61","1,060.00","582.25","-3.26","-82.57"
"AURIONPRO","1,413.00","1,452.60","1,394.90","1,401.90","1,428.40","-","26.50","1.89","2,01,303","28.78","1,991.75","1,249.05","8.17","5.45"
"BIRLACORPN","1,319.80","1,344.60","1,306.60","1,317.30","1,342.00","-","24.70","1.88","89,819","11.94","1,656.90","910.25","-2.61","-16.19"
