"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 26-Jun-2024"
"NIFTY MIDCAP 50","16,798.40","16,877.55","16,746.75","16,745.05","16,760.95","-","15.90","0.09","1,18,05,75,717","20,100.77","17,066.75","13,269.65","5.22","7.15"
"HINDPETRO","420.95","440.30","419.45","420.30","439.50","-","19.20","4.57","1,53,52,970","666.13","457.15","287.55","5.00","31.93"
"TIINDIA","3,008.00","3,117.00","2,992.40","3,005.30","3,081.00","-","75.70","2.52","7,79,151","239.35","4,810.80","2,407.10","2.18","-26.68"
"IDEA","7.25","7.55","7.25","7.24","7.40","-","0.16","2.21","80,55,73,085","596.93","19.18","6.29","3.65","-60.15"
"BHARATFORG","1,287.90","1,324.50","1,287.90","1,286.50","1,312.00","-","25.50","1.98","13,93,640","182.43","1,771.20","919.10","4.84","-22.07"
"IRCTC","774.00","789.20","773.20","773.05","785.00","-","11.95","1.55","17,72,042","138.96","1,059.45","656.00","1.15","-20.78"
"TORNTPOWER","1,468.10","1,492.00","1,459.10","1,460.70","1,482.00","-","21.30","1.46","10,38,044","153.36","2,037.00","1,207.25","5.51","-3.03"
"ALKEM","4,865.00","4,920.00","4,855.00","4,841.00","4,910.00","-","69.00","1.43","1,13,855","55.77","6,439.90","4,491.65","-6.80","-0.35"
"HDFCAMC","5,098.80","5,179.80","5,058.10","5,075.00","5,145.00","-","70.00","1.38","3,23,175","166.18","5,278.90","3,563.05","6.65","27.32"
"DIXON","14,446.00","14,954.00","14,415.00","14,315.00","14,510.00","-","195.00","1.36","13,10,517","1,924.06","19,148.90","10,620.00","-2.32","23.06"
"PETRONET","301.05","310.00","301.05","299.80","302.85","-","3.05","1.02","58,37,469","177.56","384.20","269.60","-3.34","-5.50"
"COFORGE","1,896.00","1,955.00","1,893.00","1,888.00","1,903.00","-","15.00","0.79","39,71,962","760.23","2,005.36","1,060.00","-77.57","-65.08"
"LUPIN","1,935.30","1,952.80","1,924.10","1,928.70","1,943.50","-","14.80","0.77","35,91,856","695.55","2,402.90","1,545.00","-0.33","22.22"
"YESBANK","20.10","20.49","20.10","20.08","20.22","-","0.14","0.70","10,51,12,009","213.27","27.44","16.02","-4.41","-14.16"
"MAXHEALTH","1,270.00","1,296.80","1,255.10","1,266.50","1,275.10","-","8.60","0.68","99,37,898","1,271.85","1,296.80","836.60","11.34","38.94"
"IDFCFIRSTB","72.00","73.16","71.68","71.90","72.38","-","0.48","0.67","3,25,34,083","235.84","83.70","52.46","6.43","-11.97"
"SRF","3,144.50","3,188.30","3,100.00","3,134.50","3,155.00","-","20.50","0.65","22,38,985","708.86","3,188.30","2,126.85","9.57","29.12"
"COLPAL","2,385.20","2,395.40","2,374.50","2,375.70","2,390.50","-","14.80","0.62","9,05,150","215.65","3,890.00","2,311.50","-5.09","-16.24"
"PIIND","4,120.00","4,167.00","4,112.10","4,138.40","4,160.80","-","22.40","0.54","1,35,043","56.04","4,804.05","2,951.10","7.83","8.84"
"NHPC","85.80","86.35","85.25","85.38","85.80","-","0.42","0.49","1,59,70,754","136.92","118.40","71.00","-1.37","-13.22"
"MARICO","728.00","735.70","724.45","726.25","729.60","-","3.35","0.46","43,29,253","316.59","740.20","577.85","1.72","19.62"
"CONCOR","757.45","763.90","754.20","754.20","757.00","-","2.80","0.37","13,47,206","102.22","1,075.00","601.25","-2.80","-27.83"
"PAYTM","917.95","921.95","905.45","915.75","918.50","-","2.75","0.30","43,47,760","398.12","1,062.95","400.05","7.83","127.39"
"MPHASIS","2,810.00","2,883.00","2,792.00","2,802.50","2,810.00","-","7.50","0.27","9,67,905","273.35","3,237.95","2,044.55","10.61","14.66"
"ASHOKLEY","250.39","251.90","249.32","248.92","249.51","-","0.59","0.24","51,99,866","130.18","264.65","191.86","4.65","3.13"
"MRF","1,42,600.00","1,45,700.00","1,41,700.00","1,42,515.00","1,42,830.00","-","315.00","0.22","20,472","293.79","1,47,435.00","1,02,124.05","0.30","14.38"
"POLICYBZR","1,850.00","1,870.00","1,810.00","1,834.10","1,838.00","-","3.90","0.21","50,98,482","931.29","2,246.90","1,311.35","4.20","31.49"
"SBICARD","978.00","1,015.00","949.50","975.30","977.00","-","1.70","0.17","99,56,566","981.45","1,027.25","659.80","9.15","35.74"
