"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-Jun-2024"
"NIFTY SMALLCAP 50","9,113.50","9,164.00","9,102.30","9,073.15","9,120.60","-","47.45","0.52","20,11,61,039","11,125.74","9,505.50","6,776.05","7.23","7.18"
"HSCL","451.90","527.50","449.25","448.95","502.00","-","53.05","11.82","5,46,73,090","2,779.69","688.70","365.35","6.09","29.66"
"RPOWER","66.48","69.50","65.55","66.60","69.29","-","2.69","4.04","3,10,98,403","211.47","76.49","25.75","-","-"
"LAURUSLABS","683.00","704.30","678.70","680.35","704.00","-","23.65","3.48","31,78,596","221.14","704.30","414.00","14.95","65.71"
"ABREL","2,344.00","2,415.80","2,344.00","2,334.50","2,414.00","-","79.50","3.41","3,47,815","83.12","3,140.00","1,638.00","7.90","-"
"GSPL","321.00","343.30","321.00","319.85","328.30","-","8.45","2.64","49,35,147","166.01","469.70","261.45","0.98","11.42"
"KFINTECH","1,332.70","1,378.50","1,329.00","1,323.40","1,357.60","-","34.20","2.58","28,41,558","386.25","1,641.35","690.05","24.87","92.45"
"NAVINFLUOR","4,698.00","4,899.00","4,683.10","4,684.50","4,800.00","-","115.50","2.47","3,89,456","188.21","4,899.00","3,160.40","12.41","33.58"
"CAMS","4,234.70","4,334.00","4,218.70","4,212.80","4,295.50","-","82.70","1.96","6,34,902","272.84","5,367.50","3,031.05","7.80","20.89"
"KAYNES","5,780.00","5,945.00","5,780.00","5,769.00","5,866.50","-","97.50","1.69","4,95,261","290.86","7,822.00","3,726.00","-2.08","50.94"
"NATCOPHARM","875.00","905.95","866.00","871.15","885.70","-","14.55","1.67","11,33,067","99.96","1,639.00","726.80","2.57","-23.17"
"NEULANDLAB","12,000.00","12,199.00","11,916.00","11,962.00","12,123.00","-","161.00","1.35","33,408","40.26","18,100.00","7,157.95","9.54","60.92"
"CASTROLIND","215.00","218.40","213.49","214.19","217.00","-","2.81","1.31","26,59,256","57.54","284.40","162.60","5.07","7.22"
"AFFLE","1,961.90","2,032.00","1,955.70","1,956.60","1,982.00","-","25.40","1.30","4,78,557","95.57","2,032.00","1,246.00","14.25","48.74"
"PPLPHARMA","203.20","204.46","200.93","200.99","203.50","-","2.51","1.25","54,58,728","110.71","307.90","145.25","-0.02","28.81"
"POONAWALLA","449.20","458.05","446.80","449.65","455.10","-","5.45","1.21","20,82,063","94.41","458.05","267.20","13.63","12.16"
"INOXWIND","174.00","176.40","173.02","173.89","176.00","-","2.11","1.21","53,12,228","93.09","261.90","130.32","-9.34","25.45"
"AMBER","6,820.00","6,954.00","6,804.50","6,786.50","6,858.00","-","71.50","1.05","3,25,471","223.71","8,177.00","3,964.00","6.24","60.04"
"CDSL","1,750.00","1,797.50","1,750.00","1,746.80","1,764.40","-","17.60","1.01","46,79,966","830.87","1,989.80","999.60","15.88","-12.25"
"HINDCOPPER","275.04","281.29","274.30","272.08","274.53","-","2.45","0.90","1,82,15,597","507.05","353.00","183.82","11.14","-13.61"
